EVENT_ID,CZ_NAME_STR,BEGIN_LOCATION,BEGIN_DATE,BEGIN_TIME,EVENT_TYPE,MAGNITUDE,TOR_F_SCALE,DEATHS_DIRECT,INJURIES_DIRECT,DAMAGE_PROPERTY_NUM,DAMAGE_CROPS_NUM,STATE_ABBR,CZ_TIMEZONE,MAGNITUDE_TYPE,EPISODE_ID,CZ_TYPE,CZ_FIPS,WFO,INJURIES_INDIRECT,DEATHS_INDIRECT,SOURCE,FLOOD_CAUSE,TOR_LENGTH,TOR_WIDTH,BEGIN_RANGE,BEGIN_AZIMUTH,END_RANGE,END_AZIMUTH,END_LOCATION,END_DATE,END_TIME,BEGIN_LAT,BEGIN_LON,END_LAT,END_LON,EVENT_NARRATIVE,EPISODE_NARRATIVE,ABSOLUTE_ROWNUMBER
1182869,WHITE MOUNTAINS (ZONE), ,05/05/2024,1130,High Wind,54.00, ,0,0,0,0,AZ,MST-7,MG,191989,Z,17,FGZ,0,0,AWOS, , , , , , , , ,05/05/2024,1630, , , , ,"A wind sensor at Highway 260 (mile post 378) and Highway 273 reported a peak wind gust of 62 MPH at 413 PM. The sustained wind was above 40 MPH and/or wind gusts were above 58 MPH between1130 PM and 430 PM.","A deep upper level low moved across The Great Basin and through Arizona. This system was anomalously strong for the time of year and is quite cold aloft.  The  pressure gradient tightened up and resulted in extremely gusty and strong winds.  While most areas experienced wind gusts around 40-50 MPH with some areas had gusts  of 55-65 MPH.  The highest gusts were downwind of the higher terrain.",1
1182901,WESTERN MOGOLLON RIM (ZONE), ,05/05/2024,1130,High Wind,55.00, ,0,0,0,0,AZ,MST-7,MG,191989,Z,15,FGZ,0,0,ASOS, , , , , , , , ,05/05/2024,1200, , , , ,"The Flagstaff Airport had a peak wind gust of 63 MPH at 1159 AM. The wind gusts were above 58 MPH from around 1130 AM to around Noon.","A deep upper level low moved across The Great Basin and through Arizona. This system was anomalously strong for the time of year and is quite cold aloft.  The  pressure gradient tightened up and resulted in extremely gusty and strong winds.  While most areas experienced wind gusts around 40-50 MPH with some areas had gusts  of 55-65 MPH.  The highest gusts were downwind of the higher terrain.",2
1182854,EASTERN MOGOLLON RIM (ZONE), ,05/05/2024,1315,High Wind,55.00, ,0,0,0,0,AZ,MST-7,MG,191989,Z,16,FGZ,0,0,AWOS, , , , , , , , ,05/05/2024,1735, , , , ,"The Mogollon Rim Airpark measured a peak wind gust of 59 MPH at 335 PM. The Mesonet station near Heber measure a peak wind gust of 63 MPH. The RAWS station at Limestone Canyon had a peak wind gust of 63 MPH at 124 PM. Wind gusts at Limestone were 58 MPH or higher from around 100 PM to 300 PM.","A deep upper level low moved across The Great Basin and through Arizona. This system was anomalously strong for the time of year and is quite cold aloft.  The  pressure gradient tightened up and resulted in extremely gusty and strong winds.  While most areas experienced wind gusts around 40-50 MPH with some areas had gusts  of 55-65 MPH.  The highest gusts were downwind of the higher terrain.",3
1182904,LITTLE COLORADO RIVER VALLEY IN COCONINO COUNTY (ZONE), ,05/05/2024,1350,High Wind,63.00, ,0,0,0,0,AZ,MST-7,MG,191989,Z,12,FGZ,0,0,ASOS, , , , , , , , ,05/05/2024,1900, , , , ,"The peak wind gust at the Winslow Airport was 64 MPH at 506 PM. Wind gust of 58 MPH or higher occurred between 150 PM and 510 PM. The KINW airport is less than ten miles into the next county. The peak wind gust at Two Guns (ADOT sensor) along I-40 was           73 MPH at 603 PM. Wind gusts were 58 MPH or higher from around 200 PM to 700 PM.","A deep upper level low moved across The Great Basin and through Arizona. This system was anomalously strong for the time of year and is quite cold aloft.  The  pressure gradient tightened up and resulted in extremely gusty and strong winds.  While most areas experienced wind gusts around 40-50 MPH with some areas had gusts  of 55-65 MPH.  The highest gusts were downwind of the higher terrain.",4
1182842,LITTLE COLORADO RIVER VALLEY IN NAVAJO COUNTY (ZONE), ,05/05/2024,1455,High Wind,56.00, ,0,0,0,0,AZ,MST-7,MG,191989,Z,13,FGZ,0,0,ASOS, , , , , , , , ,05/05/2024,1740, , , , ,"The Taylor Airport had a peak wind gust of 58 MPH at 415 PM. The sustained wind was 40 MPH or higher a few times between 250 PM and 540 PM. A wind sensor along I-40 at the Little Colorado River measured a wind gust of 61 MPH at 433 PM. The peak wind gust at the Winslow Airport was 64 MPH at 506 PM. Wind gust of 58 MPH or higher occurred between 150 PM and 510 PM.","A deep upper level low moved across The Great Basin and through Arizona. This system was anomalously strong for the time of year and is quite cold aloft.  The  pressure gradient tightened up and resulted in extremely gusty and strong winds.  While most areas experienced wind gusts around 40-50 MPH with some areas had gusts  of 55-65 MPH.  The highest gusts were downwind of the higher terrain.",5
1182856,KAIBAB PLATEAU (ZONE), ,05/05/2024,1519,High Wind,51.00, ,0,0,0,0,AZ,MST-7,MG,191989,Z,4,FGZ,0,0,RAWS, , , , , , , , ,05/05/2024,1519, , , , ,"The Four Springs RAWS on top of the Vermillion Cliffs measured a peak wind gust of 59 MPH at 319 PM.","A deep upper level low moved across The Great Basin and through Arizona. This system was anomalously strong for the time of year and is quite cold aloft.  The  pressure gradient tightened up and resulted in extremely gusty and strong winds.  While most areas experienced wind gusts around 40-50 MPH with some areas had gusts  of 55-65 MPH.  The highest gusts were downwind of the higher terrain.",6
1182888,CHUSKA MOUNTAINS AND DEFIANCE PLATEAU (ZONE), ,05/05/2024,1519,High Wind,54.00, ,0,0,0,0,AZ,MST-7,MG,191989,Z,11,FGZ,0,0,ASOS, , , , , , , , ,05/05/2024,1519, , , , ,"The Window Rock Airport measured a peak wind gust of  62 MPH at 319 PM.","A deep upper level low moved across The Great Basin and through Arizona. This system was anomalously strong for the time of year and is quite cold aloft.  The  pressure gradient tightened up and resulted in extremely gusty and strong winds.  While most areas experienced wind gusts around 40-50 MPH with some areas had gusts  of 55-65 MPH.  The highest gusts were downwind of the higher terrain.",7
1182922,LITTLE COLORADO RIVER VALLEY IN APACHE COUNTY (ZONE), ,05/05/2024,1630,High Wind,62.00, ,0,0,0,0,AZ,MST-7,MG,191989,Z,14,FGZ,0,0,ASOS, , , , , , , , ,05/05/2024,2200, , , , ,"The peak wind gust at the Springerville Airport was 71 MPH at 830 PM. The wind gusted to at least 58 MPH at time between 420 PM and 1000 PM.  The sustained winds remained above 40 MPH the entire time between 645 PM and 1000 PM.","A deep upper level low moved across The Great Basin and through Arizona. This system was anomalously strong for the time of year and is quite cold aloft.  The  pressure gradient tightened up and resulted in extremely gusty and strong winds.  While most areas experienced wind gusts around 40-50 MPH with some areas had gusts  of 55-65 MPH.  The highest gusts were downwind of the higher terrain.",8
1182950,COCONINO CO.,GRAY MTN,05/13/2024,1539,Tornado, ,EF0,0,0,0,0,AZ,MST-7, ,191995,C,5,FGZ,0,0,Social Media, ,0.1,10,8,S,7,S,GRAY MTN,05/13/2024,1540,35.63,-111.49,35.6525,-111.4673,"A report with photo from social media of a brief landspout tornado. Time and location             estimated from radar.","Residual moisture over northern Arizona was enough for isolated showers and thunderstorms to develop this afternoon over parts of northern Arizona. One storm produced a brief landspout tornado.",9
1179511,TUCSON METRO AREA (ZONE), ,05/18/2024,1100,Heat, , ,0,0,0,0,AZ,MST-7, ,191579,Z,504,TWC,0,1,County Official, , , , , , , , ,05/18/2024,2000, , , , ,"Hot temperatures around 6 degrees above normal were experienced in the Tucson Metro Area May 18 causing the Moderate Heat Risk category to be reached. Tucson International Airport topped out at 99 degrees. The Pima County Medical Examiner confirmed that heat was a contributing factor in the death of one individual.","Hot temperatures around 6 degrees above normal were experienced in the Tucson area. The Pima County Medical Examiner confirmed that heat was a contributing factor of death for an individual in Tucson.",10
